stock_id,name,industry,close,adv20,listed_ok,pe_hist_pct,value_pct,revenue_yoy,rev_month,bear_regime,value_ind_pct,momentum20,chip20_turnover,high52_prox,rev_accel,value_ind_pct_pool_pct,momentum20_pool_pct,chip20_turnover_pool_pct,high52_prox_pool_pct,rev_accel_pool_pct,composite
6667,信紘科,電子設備,257.5,144268621.825,True,33.20568927789934,71.71189979123173,-2.5,2026-06-01,False,90.0,-6.702898550724639,-0.023535032622859723,85.54817275747509,-5.23,90.359477124183,36.9281045751634,33.2244008714597,70.26143790849673,22.875816993464053,50.729847494553375
7788,松川精密,電子零組件,261.0,594398416.575,True,93.33333333333333,17.745302713987474,65.66,2026-06-01,False,32.63888888888889,-4.744525547445255,-0.08732525885756882,89.38356164383562,23.953333333333333,32.24400871459695,43.24618736383442,11.220043572984748,79.08496732026144,87.7995642701525,50.71895424836602
2243,宏旭-KY,汽車組件,53.0,56453886.07000001,True,40.32786885245901,66.66666666666666,-40.08,2026-06-01,False,83.33333333333334,17.908787541713007,-0.06244237546742955,80.3030303030303,-37.516666666666666,83.60566448801742,92.81045751633987,16.44880174291939,55.55555555555556,4.901960784313726,50.66448801742919
9907,統一實,金屬製品,15.3,90758721.92999999,True,24.562363238512035,78.18371607515657,-6.1,2026-06-01,False,85.71428571428571,-8.108108108108096,-0.039015532900287204,75.93052109181141,9.593333333333335,86.00217864923746,30.93681917211329,25.49019607843137,43.24618736383442,67.42919389978213,50.62091503267974
3066,李洲,光電及I/O,24.2,47599552.2675,True,99.18533604887983,3.3402922755741122,49.95,2026-06-01,False,4.545454545454546,18.918918918918905,0.033409976979109975,80.13245033112582,-2.213333333333331,3.2679738562091507,93.13725490196079,70.37037037037037,55.446623093681914,30.82788671023965,50.610021786492375
2905,三商,百貨批發,15.5,12002175.895,True,84.16206261510129,31.3848295059151,-19.95,2026-05-01,False,14.285714285714285,1.3071895424836555,0.11134641917170228,90.64327485380116,-111.84666666666666,13.23529411764706,63.9433551198257,91.28540305010894,82.46187363834423,1.8518518518518516,50.55555555555556
6933,AMAX-KY,電腦及週邊,161.5,37583501.0,True,14.153846153846153,85.73416840640222,26.6,2026-06-01,False,94.73684210526315,4.870129870129871,0.008073239878512368,65.65040650406505,-23.383333333333326,93.89978213507625,76.25272331154684,56.42701525054466,17.647058823529413,8.169934640522875,50.47930283224401
1264,德麥,其他食品,259.0,10639923.7,True,0.0,99.72164231036882,9.93,2026-06-01,False,100.0,-4.074074074074074,-0.19407834165315063,83.27974276527331,2.036666666666666,98.63834422657952,44.88017429193899,1.0893246187363834,63.18082788671025,43.24618736383442,50.20697167755991
1722,台肥,藥,47.8,95489842.47999999,True,96.66301969365426,11.725817675713293,-10.47,2026-06-01,False,11.363636363636363,-1.7471736896197358,0.13268260013974686,88.02946593001842,-9.423333333333334,10.130718954248366,54.13943355119826,94.11764705882352,75.81699346405229,16.775599128540307,50.196078431372555
8099,大世科,資訊服務,58.3,11415776.514999999,True,42.77899343544858,65.20528879610299,85.46,2026-06-01,False,52.27272727272727,-2.1812080536912823,-0.03373130086552125,68.50763807285547,50.166666666666664,51.90631808278867,52.069716775599126,27.77777777777778,23.52941176470588,95.20697167755992,50.09803921568628
