date,ticker,baseline_selected,u1_selected,change_type
2018-02-27,2426,True,True,UNCHANGED
2018-02-27,2474,True,True,UNCHANGED
2018-02-27,2481,True,True,UNCHANGED
2018-02-27,2534,True,True,UNCHANGED
2018-02-27,2546,True,True,UNCHANGED
2018-02-27,2548,True,True,UNCHANGED
2018-02-27,2608,True,True,UNCHANGED
2018-02-27,2816,True,True,UNCHANGED
2018-02-27,2851,True,True,UNCHANGED
2018-02-27,2881,True,True,UNCHANGED
2018-02-27,2888,True,True,UNCHANGED
2018-02-27,2915,True,True,UNCHANGED
2018-02-27,3010,True,True,UNCHANGED
2018-02-27,3028,True,True,UNCHANGED
2018-02-27,3029,True,True,UNCHANGED
2018-02-27,3056,True,True,UNCHANGED
2018-02-27,3236,True,True,UNCHANGED
2018-02-27,3388,True,True,UNCHANGED
2018-02-27,3532,True,True,UNCHANGED
2018-02-27,3611,True,True,UNCHANGED
2018-02-27,4207,True,True,UNCHANGED
2018-02-27,4549,True,True,UNCHANGED
2018-02-27,4561,True,True,UNCHANGED
2018-02-27,4947,True,True,UNCHANGED
2018-02-27,4953,True,True,UNCHANGED
2018-02-27,4967,True,True,UNCHANGED
2018-02-27,5285,True,True,UNCHANGED
2018-02-27,5289,True,True,UNCHANGED
2018-02-27,5410,True,True,UNCHANGED
2018-02-27,5607,True,True,UNCHANGED
2018-02-27,5864,True,True,UNCHANGED
2018-02-27,6026,True,True,UNCHANGED
2018-02-27,6112,True,True,UNCHANGED
2018-02-27,6168,True,True,UNCHANGED
2018-02-27,6173,True,True,UNCHANGED
2018-02-27,6192,True,True,UNCHANGED
2018-02-27,6242,True,True,UNCHANGED
2018-02-27,6266,True,True,UNCHANGED
2018-02-27,6294,True,True,UNCHANGED
2018-02-27,6411,True,True,UNCHANGED
2018-02-27,6414,True,True,UNCHANGED
2018-02-27,6504,True,True,UNCHANGED
2018-02-27,6532,True,True,UNCHANGED
2018-02-27,6603,True,True,UNCHANGED
2018-02-27,8415,True,True,UNCHANGED
2018-02-27,8416,True,True,UNCHANGED
2018-02-27,8422,True,True,UNCHANGED
2018-02-27,8905,True,True,UNCHANGED
2018-02-27,9919,True,True,UNCHANGED
2018-02-27,9940,True,True,UNCHANGED
2018-02-27,9946,True,True,UNCHANGED
2018-03-31,1109,True,True,UNCHANGED
2018-03-31,1303,True,True,UNCHANGED
2018-03-31,1310,True,True,UNCHANGED
2018-03-31,1434,True,True,UNCHANGED
2018-03-31,1436,True,True,UNCHANGED
2018-03-31,1597,True,True,UNCHANGED
2018-03-31,1605,True,True,UNCHANGED
2018-03-31,1701,True,True,UNCHANGED
2018-03-31,1780,True,True,UNCHANGED
2018-03-31,2028,True,True,UNCHANGED
2018-03-31,2063,True,True,UNCHANGED
2018-03-31,2221,True,True,UNCHANGED
2018-03-31,2607,True,True,UNCHANGED
2018-03-31,2729,True,True,UNCHANGED
2018-03-31,2903,True,True,UNCHANGED
2018-03-31,2915,True,True,UNCHANGED
