factor,dir,mode,adv,sharpe,cagr,months
value,低,top10%,500萬,0.2674670733756063,7.38200232911308,256
value,低,top5%,500萬,0.2816032947948573,7.879306702710398,256
value,低,N=25,500萬,0.3519767472297482,10.04358561705747,256
value,低,N=15,500萬,0.2980908698975697,8.806614529034263,256
value,低,N=8,500萬,0.06561168976185562,2.8944141017765546,256
value_ind,高,top20%,500萬,0.27885944073588975,7.2933230684925965,256
value_ind,高,top10%,500萬,0.1963593779337472,5.4408031124036915,256
value_ind,高,top5%,500萬,0.08831004440961157,2.9882728520230106,256
value_ind,高,N=25,500萬,0.11025159385027718,3.4307353873380464,256
value_ind,高,N=15,500萬,0.12031913830233879,3.6993119655428286,256
value_ind,高,N=8,500萬,0.15132609154635934,4.494329956645804,256
value_ind,低,top20%,500萬,0.2739062352777288,7.407973043647975,256
value_ind,低,top10%,500萬,0.1918063178309949,5.5872079285999465,256
value_ind,低,top5%,500萬,0.10927155757530083,3.7853123430508617,256
value_ind,低,N=25,500萬,0.17224261470943455,5.48345406470816,256
value_ind,低,N=15,500萬,0.16431462771837563,5.478546686462504,256
value_ind,低,N=8,500萬,0.1744145105661977,6.258634800567919,256
momentum,高,top20%,500萬,0.15326699664804486,4.807801645233756,256
momentum,高,top10%,500萬,0.09937095933805651,3.626762535559913,256
momentum,高,top5%,500萬,0.08977129680908252,3.6376658366613857,256
momentum,高,N=25,500萬,0.08550038814383935,3.705555458802645,256
momentum,高,N=15,500萬,0.128970414913152,5.493765730961475,256
momentum,高,N=8,500萬,0.1906724593429928,8.627006558091388,256
momentum,低,top20%,500萬,0.09506862664983967,3.414324018920456,256
momentum,低,top10%,500萬,0.07876610475295616,3.126402982787413,256
momentum,低,top5%,500萬,0.07676463227545478,3.1895660063735454,256
momentum,低,N=25,500萬,0.03257277138297113,1.9628122884537857,256
momentum,低,N=15,500萬,0.012981841161261635,1.396171212830155,256
momentum,低,N=8,500萬,-0.11278687917459769,-2.69671121408368,256
mom60,高,top20%,500萬,0.4675884622518374,12.892417011424385,256
mom60,高,top10%,500萬,0.4003002780654836,12.18002355079475,256
mom60,高,top5%,500萬,0.33702268130632557,11.195532172099165,256
mom60,高,N=25,500萬,0.33921255422714225,12.141659272948392,256
mom60,高,N=15,500萬,0.3600490379227741,14.065340946820859,256
mom60,高,N=8,500萬,0.4165331943657861,19.318704303400214,256
mom60,低,top20%,500萬,0.0036350374373186156,1.0956848926372942,256
mom60,低,top10%,500萬,4.657432473746552e-06,1.0001324488933427,256
mom60,低,top5%,500萬,-0.035688421763315166,-0.0963022683179271,256
mom60,低,N=25,500萬,-0.03746661777593937,-0.1729395952205115,256
mom60,低,N=15,500萬,0.012701816672345196,1.4146610577230323,256
mom60,低,N=8,500萬,-0.0428590202024444,-0.5613372566021679,256
mom120,高,top20%,500萬,0.5528727463520696,15.485147189810666,256
mom120,高,top10%,500萬,0.5233037552100879,16.259282861108648,256
mom120,高,top5%,500萬,0.5029654806976935,17.3806411672764,256
mom120,高,N=25,500萬,0.41533455031985744,15.354001240949366,256
mom120,高,N=15,500萬,0.3039473072344058,12.76234703316601,256
mom120,高,N=8,500萬,0.10344362989108206,5.986478741688694,256
mom120,低,top20%,500萬,-0.04006354203533771,-0.0431826702668503,256
mom120,低,top10%,500萬,-0.10569280524053254,-1.9761456148031264,256
mom120,低,top5%,500萬,-0.21336282387461505,-5.463522741216609,256
mom120,低,N=25,500萬,-0.22762588799739064,-6.199632558377122,256
mom120,低,N=15,500萬,-0.2501739474143752,-7.243678627124062,256
mom120,低,N=8,500萬,-0.29513384231532547,-9.176282445609907,256
chip,高,top20%,500萬,0.2501001445641026,6.213017517161745,256
chip,高,top10%,500萬,0.15672456194694606,4.076436897557301,256
chip,高,top5%,500萬,0.1775282970412271,4.359972056218386,256
chip,高,N=25,500萬,0.11648410711654095,3.117013427364723,256
chip,高,N=15,500萬,0.08612592232682753,2.550326043715434,256
chip,高,N=8,500萬,-0.04732141027333359,0.04361203755156584,256
chip,低,top20%,500萬,0.1994338509097171,5.033340824643928,256
chip,低,top10%,500萬,0.2668458235582652,6.076817619070596,256
chip,低,top5%,500萬,0.3047878378820914,6.546090163483154,256
chip,低,N=25,500萬,0.35183098313376326,7.154466529431658,256
chip,低,N=15,500萬,0.39204362218740657,7.719873129614707,256
chip,低,N=8,500萬,0.3627079294275315,7.309961949816546,256
chip5,高,top20%,500萬,0.17592733150840906,4.608743083141387,256
chip5,高,top10%,500萬,0.10456960399048558,3.0341588793196594,256
chip5,高,top5%,500萬,0.004075320826154531,1.0737485239061373,256
chip5,高,N=25,500萬,-0.07436104816830202,-0.30843124589355897,256
chip5,高,N=15,500萬,-0.1534451384650324,-1.6518602959296969,256
chip5,高,N=8,500萬,-0.15695366722461015,-1.9410317555234813,256
chip5,低,top20%,500萬,0.256940692756747,6.4524285586338825,256
chip5,低,top10%,500萬,0.3087864597148677,7.187038121064893,256
chip5,低,top5%,500萬,0.3626188015670256,7.937871141203701,256
chip5,低,N=25,500萬,0.43558554895086354,9.215735456616247,256
chip5,低,N=15,500萬,0.44953753995990947,9.440170626258926,256
chip5,低,N=8,500萬,0.5031554330794354,10.292709670076983,256
chip10,高,top20%,500萬,0.21788814034841175,5.574189008605668,256
chip10,高,top10%,500萬,0.12225451720736318,3.387796531100129,256
chip10,高,top5%,500萬,0.061928685619009514,2.168829945153883,256
chip10,高,N=25,500萬,0.02439367651011771,1.4406484005864417,256
chip10,高,N=15,500萬,-0.06416532713468526,-0.15794577403105414,256
chip10,高,N=8,500萬,-0.08466037092294346,-0.5810588198885469,256
chip10,低,top20%,500萬,0.2388584439634045,5.892049272561728,256
chip10,低,top10%,500萬,0.2883580129134032,6.529533616866701,256
chip10,低,top5%,500萬,0.29023253780616576,6.22263487629684,256
chip10,低,N=25,500萬,0.35961721546415437,7.445096567044995,256
chip10,低,N=15,500萬,0.41490131964072197,7.987399009338381,256
chip10,低,N=8,500萬,0.4705057550072451,9.33776087596776,256
chip60,高,top20%,500萬,0.5010630004091648,11.291354249502717,256
chip60,高,top10%,500萬,0.45671241816169716,9.568516765315715,256
chip60,高,top5%,500萬,0.33632317235655285,7.008009841672025,256
chip60,高,N=25,500萬,0.24771900602002023,5.438003741596331,256
chip60,高,N=15,500萬,0.14013450110443815,3.433348101793432,256
chip60,高,N=8,500萬,-0.02101609303468162,0.6202894279347726,256
chip60,低,top20%,500萬,0.22216472065714155,5.50716270445637,256
chip60,低,top10%,500萬,0.2789372428052386,6.178869581107382,256
chip60,低,top5%,500萬,0.3974318710000817,8.055888214198848,256
chip60,低,N=25,500萬,0.38376271637258147,7.742011586703379,256
chip60,低,N=15,500萬,0.30939383195513964,6.429674893894433,256
